"Date","Value"
"1973-02-08",113.039342574888
"1973-02-09",98.1748418693645
"1973-02-10",100.421801278269
"1973-02-11",122.11360172685
"1973-02-12",5544.02665560175
"1973-02-13",771.916978500525
"1973-02-14",2433.5434614474
"1973-02-15",1255.18609445985
"1973-02-16",1600.9585789032
"1973-02-17",2133.31511579305
"1973-02-18",1426.81922470075
"1973-02-19",710.73054536385
"1973-02-20",2180.7605279351
"1973-02-21",6899.8073943687
"1973-02-22",1224.2471918265
"1973-02-23",1519.4630895698
"1973-02-24",797.41132564171
"1973-02-25",504.44238731587
"1973-02-26",364.353110318025
"1973-02-27",291.067664978815
"1973-02-28",233.856621565985
"1973-03-01",202.57203287184
"1973-03-02",179.583909687385
"1973-03-03",154.69451315711
"1973-03-04",127.81742176431
"1973-03-05",120.730857475235
"1973-03-06",113.471450153594
"1973-03-07",105.088563127801
"1973-03-08",103.360132813102
"1973-03-09",98.779792479431
"1973-03-10",177.50979330936
"1973-03-11",205.856050469275
"1973-03-12",131.706389972655
"1973-03-13",115.02703743669
"1973-03-14",105.866356769349
"1973-03-15",89.9647978749335
"1973-03-16",82.4461260064305
"1973-03-17",82.4461260064305
"1973-03-18",83.656027226684
"1973-03-19",102.063810077227
"1973-03-20",111.570176807532
"1973-03-21",99.9032721839435
"1973-03-22",84.8659284469375
"1973-03-23",73.0261807918665
"1973-03-24",64.816136797556
"1973-03-25",75.4459832323735
"1973-03-26",91.9524927367355
"1973-03-27",215.36241719958
"1973-03-28",209.83144019312
"1973-03-29",192.374294015125
"1973-03-30",333.673472233585
"1973-03-31",1556.7107628467
"1973-04-01",504.528808832575
"1973-04-02",314.83358180518
"1973-04-03",288.302176475585
"1973-04-04",278.79580974528
"1973-04-05",278.70938822978
"1973-04-06",278.70938822978
"1973-04-07",273.005568191115
"1973-04-08",264.104152070515
"1973-04-09",264.017730555015
"1973-04-10",258.486753548555
"1973-04-11",249.75818046016
"1973-04-12",244.3136249692
"1973-04-13",325.8091143026
"1973-04-14",289.252813148495
"1973-04-15",273.178411222115
"1973-04-16",264.104152070515
"1973-04-17",258.486753548555
"1973-04-18",249.75818046016
"1973-04-19",244.3136249692
"1973-04-20",235.930737942805
"1973-04-21",235.844316427305
"1973-04-22",230.65902548405
"1973-04-23",222.53540300536
"1973-04-24",222.448981488655
"1973-04-25",222.448981488655
"1973-04-26",222.448981488655
"1973-04-27",217.4365335764
"1973-04-28",209.572175645415
"1973-04-29",204.64614924866
"1973-04-30",197.041055864175
"1973-05-01",192.287872499625
"1973-05-02",184.942043662845
"1973-05-03",184.85562214614
"1973-05-04",184.85562214614
"1973-05-05",180.36170332809
"1973-05-06",173.275139039015
"1973-05-07",173.188717523515
"1973-05-08",168.867641736465
"1973-05-09",157.892109239045
"1973-05-10",151.23765252747
"1973-05-11",147.175841288125
"1973-05-12",140.867070639755
"1973-05-13",136.978102432615
"1973-05-14",130.842174815245
"1973-05-15",130.842174815245
"1973-05-16",130.842174815245
"1973-05-17",127.126049639105
"1973-05-18",121.33580808494
"1973-05-19",121.33580808494
"1973-05-20",121.33580808494
"1973-05-21",117.792525940041
"1973-05-22",112.175127417599
"1973-05-23",112.175127417599
"1973-05-24",108.804688304182
"1973-05-25",103.446554328842
"1973-05-26",103.446554328842
"1973-05-27",134.558299991385
"1973-05-28",196.26326222347
"1973-05-29",169.040484767465
"1973-05-30",162.04034199389
"1973-05-31",157.805687723545
"1973-06-01",151.23765252747
"1973-06-02",147.175841288125
"1973-06-03",137.064523948115
"1973-06-04",130.842174815245
"1973-06-05",130.842174815245
"1973-06-06",127.126049639105
"1973-06-07",117.792525940041
"1973-06-08",119.866642317584
"1973-06-09",156.336521955225
"1973-06-10",117.619682908559
"1973-06-11",98.0884203536235
"1973-06-12",99.9896936996845
"1973-06-13",83.483184195202
"1973-06-14",74.7546111064455
"1973-06-15",65.16182286052
"1973-06-16",55.482613098733
"1973-06-17",46.9268830414585
"1973-06-18",43.729286959403
