14.10	0.46	8.45
3.70	0.46	14.90
7.10	0.47	13.60
9.30	0.47	13.20
7.10	0.48	16.10
1.20	0.48	14.00
11.70	0.49	11.70
26.20	0.49	18.80
33.60	0.50	33.00
51.10	0.50	44.60
4.10	0.54	27.60
2.70	0.55	21.80
0.20	0.56	17.50
0.00	0.56	14.70
0.00	0.56	13.00
3.60	0.56	11.70
0.10	0.56	11.60
16.50	0.56	11.00
0.20	0.55	16.30
0.00	0.55	11.00
0.20	0.49	9.50
0.50	0.48	9.15
0.00	0.48	8.65
0.00	0.47	8.25
0.00	0.47	7.70
0.00	0.47	7.40
0.00	0.48	7.05
0.00	0.48	6.80
0.00	0.49	6.50
3.60	0.49	6.25
0.00	0.50	6.40
0.00	0.53	6.15
0.00	0.54	5.75
0.00	0.55	5.35
0.00	0.57	5.05
0.00	0.58	4.89
0.00	0.59	4.69
3.60	0.60	4.35
1.90	0.61	4.14
5.60	0.63	4.14
1.00	0.64	4.14
0.00	0.64	4.14
5.80	0.66	4.16
0.00	0.67	5.45
0.00	0.69	5.40
11.30	0.71	9.55
10.20	0.73	14.50
0.00	0.75	11.40
0.00	0.77	8.00
0.00	0.80	6.75
0.00	0.82	6.25
6.00	0.87	6.80
6.00	0.89	8.05
0.00	0.91	8.85
0.20	0.94	6.70
0.00	0.96	6.10
0.00	0.99	5.90
0.00	1.01	5.85
0.00	1.03	5.75
0.00	1.05	5.40
0.60	1.08	5.30
0.00	1.10	5.40
1.00	1.12	5.15
0.90	1.14	5.10
2.10	1.17	5.25
10.00	1.19	5.30
13.80	1.21	10.50
0.40	1.23	11.30
4.20	1.25	7.30
0.60	1.26	7.30
0.00	1.28	6.75
0.00	1.31	6.15
0.00	1.33	5.55
1.40	1.35	5.50
18.60	1.38	8.75
0.40	1.41	12.50
6.50	1.43	9.05
0.10	1.46	10.10
3.70	1.49	8.65
0.00	1.54	9.35
0.90	1.57	8.85
0.00	1.60	7.90
0.00	1.62	7.50
