"Date","Value"
"1971-07-28",247.190400000026
"1971-07-29",237.25440000009
"1971-07-30",234.316800000129
"1971-07-31",234.057600000087
"1971-08-01",273.196799999863
"1971-08-02",264.470399999864
"1971-08-03",256.521599999993
"1971-08-04",252.547199999863
"1971-08-05",249.35039999986
"1971-08-06",244.943999999919
"1971-08-07",242.611199999927
"1971-08-08",245.289599999845
"1971-08-09",250.732799999956
"1971-08-10",239.241600000155
"1971-08-11",233.71200000016
"1971-08-12",234.057600000087
"1971-08-13",231.120000000126
"1971-08-14",223.775999999834
"1971-08-15",220.924800000147
"1971-08-16",216.518399999816
"1971-08-17",211.247999999864
"1971-08-18",207.705599999934
"1971-08-19",206.064000000185
"1971-08-20",201.052799999885
"1971-08-21",196.991999999871
"1971-08-22",196.214400000133
"1971-08-23",201.57119999997
"1971-08-24",212.803200000118
"1971-08-25",259.199999999912
"1971-08-26",334.972800000093
"1971-08-27",386.726400000113
"1971-08-28",431.481600000158
"1971-08-29",451.267200000536
"1971-08-30",990.74880000017
"1971-08-31",1074.29760000006
"1971-09-01",869.011200000006
"1971-09-02",744.94080000024
"1971-09-03",654.911999999286
"1971-09-04",598.319999999124
"1971-09-05",557.36640000178
"1971-09-06",517.27679999938
"1971-09-07",493.948799999462
"1971-09-08",485.481599999896
"1971-09-09",463.190399999368
"1971-09-10",475.459199999296
"1971-09-11",486.17279999819
"1971-09-12",472.176000000578
"1971-09-13",456.883199998856
"1971-09-14",441.76320000158
"1971-09-15",427.76640000007
"1971-09-16",446.169599999962
"1971-09-17",470.102400001798
"1971-09-18",468.201599999668
"1971-09-19",467.078400000004
"1971-09-20",476.58239999896
"1971-09-21",525.312000001474
"1971-09-22",583.977600000416
"1971-09-23",708.22080000073
"1971-09-24",791.423999999528
"1971-09-25",924.134399999408
"1971-09-26",926.035200001538
"1971-09-27",1026.51840000056
"1971-09-28",1326.58560000105
"1971-09-29",1334.18880000178
"1971-09-30",1221.78240000002
"1971-10-01",1317.68640000012
"1971-10-02",1639.69920000004
"1971-10-03",2164.83840000097
"1971-10-04",2559.94559999881
"1971-10-05",2457.7343999982
"1971-10-06",2028.15360000018
"1971-10-07",1706.14080000025
"1971-10-08",1491.35040000124
"1971-10-09",1279.58400000012
"1971-10-10",1132.96319999901
"1971-10-11",1009.67040000171
"1971-10-12",913.680000001336
"1971-10-13",834.969600001194
"1971-10-14",770.60159999976
"1971-10-15",751.766399998498
"1971-10-16",715.564800000632
"1971-10-17",655.862399998402
"1971-10-18",610.243200001854
"1971-10-19",576.54720000024
"1971-10-20",541.987199999784
"1971-10-21",514.511999998408
"1971-10-22",492.65279999925
"1971-10-23",470.188799998174
"1971-10-24",465.868800000066
"1971-10-25",438.048000001492
"1971-10-26",415.497600000142
"1971-10-27",450.144000000872
"1971-10-28",433.123200001466
"1971-10-29",410.832000000938
"1971-10-30",386.812799999997
"1971-10-31",369.619200000043
"1971-11-01",348.537599999843
"1971-11-02",329.184000000056
"1971-11-03",338.169600000096
"1971-11-04",327.369600000149
"1971-11-05",316.1376
"1971-11-06",317.347199999938
"1971-11-07",726.3647999998
"1971-11-08",2640.98879999856
"1971-11-09",3243.28319999859
"1971-11-10",2504.82239999941
"1971-11-11",2070.23040000108
"1971-11-12",1832.80320000044
"1971-11-13",1558.3103999992
"1971-11-14",1369.26719999998
"1971-11-15",1190.50559999828
"1971-11-16",1056.24000000127
"1971-11-17",940.377600000246
"1971-11-18",888.537599999562
"1971-11-19",924.220799999682
"1971-11-20",830.131200001442
"1971-11-21",777.254400001368
"1971-11-22",744.595199999144
"1971-11-23",686.879999999318
"1971-11-24",650.159999999808
"1971-11-25",611.539199998168
"1971-11-26",584.150400000964
"1971-11-27",551.232000001816
"1971-11-28",534.81600000043
"1971-11-29",594.345599998214
"1971-11-30",667.52640000031
"1971-12-01",564.969599998606
"1971-12-02",523.411199999344
"1971-12-03",499.392000001132
"1971-12-04",470.707199999818
"1971-12-05",442.281599999326
"1971-12-06",428.543999998638
"1971-12-07",413.251200000814
"1971-12-08",406.944000000302
"1971-12-09",389.404800000032
"1971-12-10",373.247999999857
"1971-12-11",367.804800000136
"1971-12-12",343.267199999891
"1971-12-13",334.972800000093
"1971-12-14",316.223999999885
"1971-12-15",301.190400000154
"1971-12-16",283.219200000073
"1971-12-17",268.790399999921
"1971-12-18",250.646400000072
"1971-12-19",235.267200000025
"1971-12-20",220.838399999873
"1971-12-21",208.65599999983
"1971-12-22",196.214400000133
"1971-12-23",184.550400000174
"1971-12-24",196.991999999871
"1971-12-25",194.832000000037
"1971-12-26",272.160000000083
"1971-12-27",751.852799998772
"1971-12-28",639.878399998386
"1971-12-29",429.148800000556
"1971-12-30",398.649600001284
"1971-12-31",400.118399998146
"1972-01-01",371.779199999877
"1972-01-02",367.45919999982
"1972-01-03",520.300800001174
"1972-01-04",584.06400000069
"1972-01-05",573.955199999816
"1972-01-06",866.332799999308
"1972-01-07",790.732800001234
"1972-01-08",722.82240000026
"1972-01-09",640.051199998934
"1972-01-10",570.49920000055
"1972-01-11",515.635199998072
"1972-01-12",497.23199999818
"1972-01-13",495.071999999126
"1972-01-14",507.68640000015
"1972-01-15",500.515200000796
"1972-01-16",495.1583999994
"1972-01-17",495.59040000077
"1972-01-18",497.923200000372
"1972-01-19",613.785600001394
"1972-01-20",713.663999998502
"1972-01-21",1059.43679999971
"1972-01-22",757.814399998188
